lid,nombre
0,Museo del Louvre
1,Galería Uffizi
2,La basílica de San Pedro
3,Museos Vaticanos
4,Royal Academy of Arts
5,Basílica de Santa María del Popolo
6,El Museo de Bellas Artes de Nancy
7,Museo de la Ópera del duomo
8,Santa María del Fiore
9,Piazza di Floros
10,Piazza Navona
11,Iglesia de Santa María de la Victoria
12,Piazza della Minerva
13,Piazza San Pietro
14,Galería Borghese
15,Museo de la ciudad de Bruselas
16,Santa Maria delle Grazie
17,Galería de la Academia
18,San Pietro in Vincoli
19,Capilla Sixtina
20,Galería de Pinturas de los Maestros Antiguos
21,Museo Condé
