oid,nombre,fecha_in,fecha_fin,periodo
0,San Sebastián,1479,1480,Renacimiento
1,La Anunciación,1472,1475,Renacimiento
2,Bautismo de Cristo,1472,1475,Renacimiento
3,La Estatua de San Pedro,1300,1305,Gótico
4,El Santo Entierro,1602,1604,Barroco
5,Tondo Taddei,1504,1506,Renacimiento
6,Crucifixión de San Pedro,1600,1601,Barroco
7,La Anunciación,1607,1608,Barroco
8,La cabeza de Medusa,1596,1597,Barroco
9,María Magdalena Penitente,1453,1455,Renacimiento
10,La Libertad guiando al pueblo,1829,1830,Romanticismo
11,El juicio Final,1541,1563,Renacimiento
12,Pitufiescultura,2018,2019,Neoclasicismo Romano de mediados del siglo XVII 1/2
13,PitufiFresco,2019,2020,Neoclasicismo Romano de mediados del siglo XVII 1/2
14,La Fuente de Neptuno,1573,1574,Renacimiento
15,La Fuente de los Cuatro Ríos,1648,1651,Barroco
16,La anunciación,1618,1619,Barroco
17,Éxtasis de Santa Teresa,1645,1652,Barroco
18,Pulcin della Minerva,1666,1667,Barroco
19,Santos Piazza San Pietro,1656,1667,Barroco
20,Apolo y Dafne,1622,1625,Barroco
21,El juicio Final,1541,1563,Renacimiento
22,Maesta di Ognissanti,1309,1310,Gótico
23,La anunciación,1300,1304,Gótico
24,Polittico di Badia,1299,1300,Gótico
25,La consagración de Napoleón,1805,1807,Neoclasicismo
26,Manneken Pis,1618,1619,Barroco
27,Pitufiescultura,2018,2019,Neoclasicismo Romano de mediados del siglo XVII 1/2
28,Bautismo de Cristo,1472,1475,Renacimiento
29,La última cena,1495,1498,Renacimiento
30,La Anunciación,1472,1475,Renacimiento
31,La Mona Lisa,1503,1519,Renacimiento
32,La Piedad,1498,1499,Renacimiento
33,El David,1501,1504,Renacimiento
34,El Moisés,1513,1515,Renacimiento
35,La creación de Adán,1500,1511,Renacimiento
36,El Juicio Final,1537,1541,Renacimiento
37,Estancias de Rafael,1508,1524,Renacimiento
38,La transfiguración,1517,1520,Renacimiento
39,Madonna Sixtina,1513,1514,Renacimiento
40,Las Gracias,1504,1505,Renacimiento
41,La primavera,1477,1478,Renacimiento
42,El nacimiento de Venus,1482,1485,Renacimiento
